Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_84.03,GS1_84,12.9,15.7055214724,24.3771783103,1
GS1_84.03,GS1_84,13,17.0654911839,25.8591105594,6
GS1_84.04,GS1_84,12.3,18.0116204003,22.3207213506,1
GS1_84.04,GS1_84,13.6,19.0885072655,25.1946809493,6
GS1_84.05,GS1_84,12.5,14.7592245153,24.3421021795,1
GS1_84.05,GS1_84,13.4,16.0593792173,25.6402234755,6
GS1_84.06,GS1_84,12.3,19.801980198,23.7345389182,1
GS1_84.06,GS1_84,14,16.4425427873,25.7563343427,6
GS1_86.01,GS1_86,11.7,17.6864244742,25.1432759635,7
GS1_86.02,GS1_86,11.6,14.1555711282,25.1697256125,7
GS1_86.03,GS1_86,12.1,18.6507936508,26.0766775252,7
GS1_86.04,GS1_86,12.2,18.6372745491,26.9506271656,7
GS1_87.01,GS1_87,11.4,16.0416666667,28.5436344807,5
GS1_87.02,GS1_87,11.9,18.4946236559,29.7040383998,5
GS1_87.03,GS1_87,10.6,16.6233766234,31.8672125717,5
GS1_87.04,GS1_87,12.4,16.1805555556,27.8729247282,5
GS1_87.05,GS1_87,13.3,15.695681974,29.9950709066,5
GS1_87.06,GS1_87,11.8,14.9214659686,30.5453636898,5
GS1_88.01,GS1_88,10.7,14.0926640927,29.1901500962,9
GS1_88.02,GS1_88,10.1,12.6666666667,28.0239832706,9
GS1_88.03,GS1_88,11,13.8853503185,30.9536384115,9
GS1_88.04,GS1_88,11.5,13.921690491,30.1771439223,9
GS1_88.05,GS1_88,11.1,13.7931034483,29.0922363584,9
GS1_88.06,GS1_88,10.7,14.302812687,29.744909959,9
GS1_89.01,GS1_89,14,20.7333333333,30.5009784371,6
GS1_89.02,GS1_89,13.6,15.7310302283,28.698648209,6
GS1_89.03,GS1_89,13.3,16.4021164021,29.7544127187,6
GS1_89.04,GS1_89,13,16.6117336849,28.7629145857,6
GS1_89.05,GS1_89,13.4,16.7003367003,30.4316532969,6
GS1_89.06,GS1_89,13,18.5893210283,27.3494020904,6
GS1_90.01,GS1_90,12,16.5652467884,27.0907178983,1
GS1_90.02,GS1_90,13.3,15.543071161,26.273165207,1
GS1_90.03,GS1_90,11.9,14.0445644835,27.7861171738,1
