FruitID,Weight,Length,Width,Ripeness,X,Y,Z
GS3_164.1,614.3,14.5,9.5,ripeness,40.755,35.294,4.515
GS3_164.2,624.2,15.5,9,ripeness,41.728,35.981,4.573
GS3_164.3,575.5,15,9,ripeness,42.609,37.443,5.58
GS3_164.4,563.2,15,9,ripeness,42.114,36.663,5.865
GS3_164.5,551.4,16.5,9,ripeness,39.944,34.435,4.372
GS3_164.6,714.3,15,10,ripeness,43.149,38.366,6.458
GS3_164.7,519,14.5,9,ripeness,40.047,34.758,4.759
GS3_164.8,649.9,16.5,9.5,ripeness,41.115,35.498,5.225
GS3_164.9,636.4,15,9,ripeness,43.162,37.41,5.205
GS3_164.10,534.6,14,9.5,ripeness,41.783,36.546,5.763
GS3_83.1,611.3,17,8.5,ripeness,40.589,33.986,3.955
GS3_83.2,548.7,17.5,9,Quarter,39.964,33.391,3.974
GS3_83.3,619.8,16,9,ripeness,40.366,33.561,3.728
GS3_83.4,657.7,16,10,ripeness,40.236,33.414,4.626
GS3_83.5,469.8,14,8,ripeness,34.846,29.176,4.815
GS3_83.6,648.7,15.5,9.5,ripeness,38.888,33.604,5.074
GS3_83.7,687.3,16,9.5,ripeness,40.68,35.327,4.895
GS3_83.8,698.7,16,9,ripeness,40.084,33.261,3.871
GS3_83.9,910.5,16.5,10,ripeness,39.716,33.159,3.712
GS3_83.10,554.5,15.5,9,ripeness,42.081,36.601,6.362
GS3_148.1,951.5,17,10.5,ripeness,41.315,35.637,4.684
GS3_148.2,919.1,18.5,11,ripeness,42.163,37.025,4.299
GS3_148.3,744,16,9.5,ripeness,40.229,34.781,4.704
GS3_148.4,905.2,16.5,10,ripeness,40.851,35.972,5.445
GS3_148.5,833.9,17,9,ripeness,40.954,35.897,5.108
GS3_148.6,757.1,16,8.5,ripeness,45.538,41.348,6.88
GS3_148.7,858.3,17.5,9,ripeness,37.428,32.225,4.03
GS3_148.8,763.9,14.5,10.5,ripeness,42.128,37.276,5.467
GS3_148.9,676,15.5,9,ripeness,40.185,34.618,4.499
GS3_148.10,623.8,13.5,9,ripeness,48.208,44.948,8.602
GS3_84.1,724.8,16,9.5,ripeness,44.207,38.647,6.952
GS3_84.2,938.3,21,9.5,ripeness,40.563,34.472,4.406
GS3_84.3,729,NA,NA,ripeness,40.24,35.064,5.037
gs3_84.4,649.8,NA,NA,ripeness,42.028,36.405,6.648
gs3_84.5,719.6,NA,NA,ripeness,39.812,34.707,5.101
gs3_84.6,505,NA,NA,ripeness,38.467,33.098,5.261
gs3_84.7,522.9,NA,NA,ripeness,39.37,33.625,4.536
gs3_84.8,472.5,NA,NA,Quarter,40.309,34.483,5.153
GS3_84.9,608.9,14,9.5,ripeness,39.941,35.049,5.777
GS3_84.10,533.3,15,8.5,Quarter,40.68,35.532,5.379
GS3_62.1,768.3,14.5,10,Quarter,41.873,35.686,4.878
GS3_62.2,862.3,15,10.5,ripeness,42.67,36.804,5.531
GS3_62.3,705.8,14,9.5,ripeness,40.357,33.717,4.124
GS3_62.4,639.6,13,10,Quarter,40.077,34.612,4.554
GS3_62.5,655.4,15,9,ripeness,39.469,33.955,4.474
GS3_62.6,617.2,12.5,9.5,ripeness,40.825,34.752,4.438
GS3_62.7,528.9,11,9.5,ripeness,42.311,36.808,4.874
GS3_62.8,795.6,14,10.5,ripeness,40.762,35.163,4.441
GS3_62.9,658.3,13,10,ripeness,39.494,33.288,3.894
GS3_62.10,701.3,14,9.5,Quarter,41.382,35.914,5.183
GS3_203.1,549.2,16.5,8.5,ripeness,41.969,35.745,4.67
GS3_203.2,526.9,17,8,Quarter,37.598,31.719,3.432
GS3_203.3,472.2,16,8.5,Quarter,38.082,32.641,4.207
GS3_203.4,551.4,15.5,9,Quarter,39.469,33.364,3.664
GS3_203.5,755.5,18,9,ripeness,37.5,31.366,4.641
GS3_203.6,374.6,14.5,7.5,ripeness,40.523,34.034,3.897
GS3_203.7,544.9,17,8.5,Quarter,39.861,34.069,4.663
GS3_203.8,421.7,16.5,7.5,Quarter,38.976,33.838,4.78
GS3_203.9,654.7,17.5,8.5,Quarter,41.55,35.319,4.948
GS3_203.10,550.4,16.5,9,ripeness,40.359,34.614,4.826
GS3_171.1,863.7,19,9,ripeness,37.178,31.631,4.421
GS3_171.2,604.4,15,8.5,ripeness,36.839,31.092,3.508
GS3_171.3,709.5,18,8,ripeness,39.278,32.896,5.233
