FruitID,Brix,Brix_date
GS1_76.01,10.6,6
GS1_198.04,14.2,6
GS1_145.01,11.5,6
GS1_39.03,13.4,6
GS1_76.02,11,6
GS1_59.02,13.6,6
GS1_108.04,11.8,6
GS1_45.04,11.6,6
GS1_172.01,12.9,6
GS1_118.02,12.9,6
GS1_63.04,11,6
GS1_137.05,10.6,6
GS1_211.02,11.1,6
GS1_45.05,12.2,6
GS1_36.05,11.3,6
GS1_211.03,12,6
GS1_164.01,12.2,6
GS1_35.01,11.1,6
GS1_63.01,10.1,6
GS1_198.05,11.5,6
GS1_76.05,10.9,6
GS1_38.06,11.6,6
GS1_52.05,5.1,6
GS1_189.05,10.9,6
GS1_203.06,10.2,6
GS1_38.01,11.6,6
GS1_132.05,13.9,7
GS1_132.01,10,7
GS1_56.04,13.5,7
GS1_16.03,12.6,7
GS1_2.01,10.7,7
GS1_41.03,11.5,7
GS1_34.01,12,7
GS1_41.05,11.6,7
GS1_17.06,10.8,7
GS1_2.04,12.4,7
GS1_149.06,13.1,7
GS1_11.02,12.4,7
GS1_41.04,11.1,7
GS1_116.01,11.3,7
GS1_116.06,11.5,7
GS1_132.02,12.3,7
GS1_17.04,10.7,7
GS1_116.05,12.2,7
GS1_91.02,12.3,7
GS1_11.03,11.5,7
GS1_22.05,9.9,7
GS1_34.04,13.4,7
GS1_8.02,10.7,7
GS1_116.02,11.9,7
GS1_2.02,12,7
GS1_40.01,10.3,7
GS1_116.04,11.5,7
GS1_34.02,11.4,7
GS1_2.06,12,7
GS1_2.05,12.8,7
GS1_22.03,10.5,7
GS1_22.01,7.5,7
GS1_17.03,10.1,7
GS1_205.03,12,7
GS1_60.05,12.8,7
GS1_40.02,13.1,7
GS1_22.04,10.2,7
GS1_158.04,10.8,7
GS1_158.05,10.7,7
GS1_2.03,11,7
GS1_158.06,13.5,7
GS1_34.06,10.8,7
GS1_56.02,14.7,7
GS1_16.02,11.8,7
GS1_40.06,13.7,7
GS1_11.01,12.9,7
GS1_17.05,11.7,7
GS1_40.05,14,7
GS1_56.01,13.9,7
GS1_25.05,12.6,7
GS1_91.04,12.4,7
GS1_57.01,12.5,7
GS1_91.03,13.6,7
GS1_79.01,12.8,7
GS1_158.02,13,7
GS1_91.06,13.9,7
GS1_91.05,13.8,7
GS1_41.01,12.5,7
GS1_69.05,14.2,7
GS1_11.06,13.2,7
GS1_11.04,12.6,7
GS1_56.05,13.9,7
GS1_16.01,12.4,7
GS1_41.06,7.8,7
GS1_46.05,11.3,7
GS1_57.02,12.7,7
GS1_50.03,11.5,7
GS1_46.03,11.4,7
GS1_205.02,11.9,7
GS1_161.06,10.1,7
GS1_42.06,13.6,7
GS1_127.01,13.5,7
GS1_56.06,13.1,7
GS1_42.06,14.9,7
GS1_17.01,10.1,7
GS1_42.02,14.9,7
GS1_25.03,11.6,7
GS1_104.02,11.8,7
GS1_46.06,11.5,7
GS1_40.03,13.6,7
GS1_69.06,14.5,7
GS1_101.03,14.1,7
GS1_104.04,11.8,7
GS1_104.06,10.9,7
GS1_56.03,11.4,7
GS1_104.03,10.9,7
GS1_25.06,12.8,7
GS1_129.03,11.7,7
GS1_94.05,12.6,7
GS1_116.03,13.1,7
GS1_16.06,13.8,7
GS1_69.04,12.6,7
GS1_50.02,11,7
GS1_205.01,13,7
GS1_101.06,13.8,7
GS1_72.06,15.2,7
GS1_50.04,10.9,7
GS1_127.03,12.2,7
GS1_50.06,13.5,7
GS1_101.01,13.2,7
GS1_205.04,12.7,7
GS1_72.05,9.1,7
GS1_69.02,13.9,7
GS1_132.03,10.2,7
GS1_57.04,14.2,7
GS1_8.01,10.6,7
GS1_57.03,8.8,7
GS1_72.03,5.6,7
GS1_25.04,9.9,7
GS1_161.04,12.8,7
GS1_158.03,11.8,7
GS1_132.06,11.4,7
GS1_16.05,12.8,7
GS1_72.04,14.9,7
GS1_69.01,13.8,7
GS1_101.05,14,7
GS1_46.02,9.5,7
GS1_69.03,13.9,7
GS1_205.05,13.4,7
GS1_22.02,9.9,7
GS1_72.01,15.1,7
GS1_40.04,12.4,7
GS1_101.02,12.4,7
GS1_79.06,12.5,7
GS1_16.04,11.7,7
GS1_22.06,10.1,7
GS1_129.06,11.1,7
GS1_46.01,11.1,7
GS1_101.04,14.1,7
GS1_57.05,12.7,7
GS1_42.03,14.3,7
GS1_72.02,13.8,7
GS1_205.06,12.4,7
GS1_132.04,11.8,7
GS1_94.06,11.5,7
GS1_11.05,10.5,7
GS1_127.02,11.8,7
GS1_17.02,12.1,7
GS1_34.05,11.8,7
GS1_149.01,9.9,7
